,city,year,sightings,date_time,date,time,temp,humidity,cloudcover,visibility,heatindex,moon_illumination
3776,Yakima,2012,1,10-25 21:00:00,2012-10-25,21,39,86,45,6,39,67
31715,Silver City,2014,1,04-28 20:30:00,2014-04-28,20,59,22,0,6,59,0
18181,Seattle,2014,1,01-24 21:30:00,2014-01-24,21,36,69,0,6,41,38
52305,Ocala,2010,1,08-14 23:00:00,2010-08-14,23,81,88,15,6,88,26
13486,Arvada,2011,1,11-09 18:40:00,2011-11-09,18,28,50,1,6,28,95
47342,Wilmington,2012,1,07-25 22:15:00,2012-07-25,22,79,85,8,6,82,43
48662,Princeville,2013,1,07-03 21:30:00,2013-07-03,21,68,99,100,0,68,25
17157,Fairbanks,2008,1,12-29 15:00:00,2008-12-29,15,-20,98,4,6,-20,9
20945,Vancouver,2011,1,02-01 19:30:00,2011-02-01,19,34,53,28,6,34,0
49450,West Covina,2012,1,07-04 20:45:00,2012-07-04,20,61,73,0,6,61,100
49261,Auburn,2010,1,07-04 22:54:00,2010-07-04,22,72,62,23,6,73,42
16738,Belmont,2013,1,12-25 22:15:00,2013-12-25,22,50,49,0,6,50,41
35600,Myrtle Beach,2009,1,05-27 21:00:00,2009-05-27,21,72,93,21,6,75,19
47084,Goshen,2008,1,07-24 22:15:00,2008-07-24,22,59,91,15,6,59,52
45337,Hudsonville,2009,1,07-15 23:00:00,2009-07-15,23,81,71,4,6,84,40
52076,Warsaw,2009,1,08-13 23:40:00,2009-08-13,23,55,71,33,6,55,44
29274,Franklin,2009,1,04-13 22:00:00,2009-04-13,22,55,96,83,5,55,67
31564,Kalispell,2014,1,04-27 00:32:00,2014-04-27,0,32,93,19,6,32,0
25798,Gonzales,2012,1,03-17 20:45:00,2012-03-17,20,34,95,84,5,34,29
47840,Petal,2012,1,07-28 21:00:00,2012-07-28,21,79,77,8,6,82,65
11583,Fullerton,2012,1,01-13 17:00:00,2012-01-13,17,66,24,0,6,66,65
60235,Alpharetta,2009,1,09-20 03:56:00,2009-09-20,3,70,99,100,3,70,3
39734,Golden City,2012,1,06-18 23:00:00,2012-06-18,23,75,77,3,6,79,0
29019,Naples,2010,1,04-01 13:00:00,2010-04-01,13,61,73,6,6,61,77
47632,Port Angeles,2010,1,07-27 21:30:00,2010-07-27,21,50,81,0,6,50,90
54335,Memphis,2011,1,08-02 02:00:00,2011-08-02,2,79,85,0,6,82,16
41161,Mukwonago,2011,1,06-25 21:00:00,2011-06-25,21,63,81,19,6,63,24
9242,Miami,2013,1,01-01 00:25:00,2013-01-01,0,70,74,42,6,75,68
2127,Wadsworth,2008,1,10-17 23:15:00,2008-10-17,23,39,82,66,6,39,78
22651,Jeffersonville,2014,1,02-22 19:45:00,2014-02-22,19,48,78,47,6,48,36
6916,Saint George,2008,1,11-01 21:03:00,2008-11-01,21,48,39,48,6,48,17
46473,St. Augustine,2011,1,07-21 21:18:00,2011-07-21,21,59,88,54,6,59,56
9857,Lexington,2009,1,01-12 18:30:00,2009-01-12,18,36,72,43,6,36,89
10122,Mount Kisco,2012,1,11-22 16:45:00,2012-11-22,16,48,76,4,6,48,58
45727,Rio Rancho,2012,1,07-17 01:45:00,2012-07-17,1,66,45,6,6,66,1
1844,Escondido,2012,1,10-15 21:02:00,2012-10-15,21,72,64,0,6,77,0
28710,Pompano Beach,2014,1,04-10 09:30:00,2014-04-10,9,73,53,5,6,77,73
25692,Philadelphia,2014,1,03-16 22:00:00,2014-03-16,22,28,75,76,4,28,100
3576,Blue Island,2012,1,10-24 07:00:00,2012-10-24,7,63,95,53,6,63,60
29739,Sylva,2014,1,04-15 17:45:00,2014-04-15,17,30,74,41,4,30,89
15468,Belmont,2013,1,12-19 05:10:00,2013-12-19,5,48,83,63,3,48,85
49906,Ridgecrest,2010,1,07-05 21:30:00,2010-07-05,21,68,24,0,6,68,35
55413,Columbia,2011,1,08-27 01:30:00,2011-08-27,1,77,75,8,6,79,2
32306,Clarksville,2009,1,04-05 02:45:00,2009-04-05,2,52,87,2,6,52,73
32065,Lubbock,2010,1,04-03 01:00:00,2010-04-03,1,45,22,5,6,45,62
17460,Arlington,2010,1,12-31 00:00:00,2010-12-31,0,61,99,83,6,61,25
55212,Suwanee,2008,1,08-26 10:00:00,2008-08-26,10,72,98,100,2,77,26
33386,Karnak,2012,1,05-01 12:00:00,2012-05-01,12,90,15,0,6,84,69
45383,Mt. Vernon,2011,1,07-15 22:05:00,2011-07-15,22,81,82,34,6,86,100
30878,Toledo,2013,1,04-22 22:15:00,2013-04-22,22,46,88,2,6,46,84
13700,Tonawanda,2012,1,01-20 05:54:00,2012-01-20,5,18,73,80,4,18,14
25278,Arcadia,2013,1,03-14 21:00:00,2013-03-14,21,59,56,12,6,59,12
3205,Madison Heights,2011,1,10-22 19:10:00,2011-10-22,19,46,79,15,6,46,24
2440,Weimar,2008,1,10-19 19:00:00,2008-10-19,19,45,90,24,6,45,63
33366,Fruitland,2010,1,05-01 06:00:00,2010-05-01,6,72,94,82,4,77,78
55762,Santa Clarita,2012,1,08-29 20:30:00,2012-08-29,20,73,51,3,6,77,82
58261,Fayetteville,2011,1,09-01 21:00:00,2011-09-01,21,66,84,6,6,66,20
30858,Yakima,2012,1,04-22 11:08:00,2012-04-22,11,70,49,3,6,73,3
59764,Buckeye,2012,1,09-18 00:00:00,2012-09-18,0,88,31,3,6,88,14
25233,Florence,2010,1,03-14 13:45:00,2010-03-14,13,57,65,0,6,57,0
6387,Murfreesboro,2008,1,11-10 22:52:00,2008-11-10,22,39,55,7,6,39,85
39571,Milwaukee,2012,1,06-17 21:27:00,2012-06-17,21,70,77,17,6,70,0
55217,Fall River,2008,1,08-26 22:00:00,2008-08-26,22,63,67,3,6,63,26
6439,Redding,2012,1,11-10 21:00:00,2012-11-10,21,27,82,5,6,27,9
63160,North Tonawanda,2012,1,09-07 20:30:00,2012-09-07,20,68,90,36,6,68,46
27267,Antioch,2013,1,03-28 23:30:00,2013-03-28,23,50,94,12,4,50,86
13152,Westminster,2009,1,01-18 19:00:00,2009-01-18,19,39,55,2,6,39,46
33363,Albuquerque (Near),2009,1,05-01 19:30:00,2009-05-01,19,79,85,40,5,86,44
57492,Hermitage,2013,1,08-09 21:00:00,2013-08-09,21,55,89,3,6,55,14
6633,East Troy,2013,1,11-11 21:19:00,2013-11-11,21,37,83,100,6,37,56
40449,Salisbury,2012,1,06-02 22:00:00,2012-06-02,22,54,98,98,6,54,90
10587,Hermitage,2011,1,11-25 21:30:00,2011-11-25,21,43,84,40,6,43,0
13708,Martins Creek,2012,1,01-20 20:55:00,2012-01-20,20,68,90,16,3,70,14
11073,New Canaan,2013,1,11-28 18:30:00,2013-11-28,18,32,46,36,6,32,16
45842,Oxford,2008,1,07-18 10:35:00,2008-07-18,10,59,86,93,6,59,100
11313,Palatine,2012,1,11-30 20:20:00,2012-11-30,20,43,91,86,6,43,81
20419,Rancho Cucamonga,2009,1,01-08 09:30:00,2009-01-08,9,70,37,0,6,75,82
12827,Phoenix,2009,1,01-17 15:32:00,2009-01-17,15,81,21,0,6,77,53
6948,Tempe,2010,1,11-01 12:50:00,2010-11-01,12,79,22,0,6,77,22
44253,North Ridgeville,2008,1,07-12 00:00:00,2008-07-12,0,68,77,6,6,68,61
9267,Springdale,2013,1,01-01 20:30:00,2013-01-01,20,23,94,32,6,23,68
54301,Oregon City,2008,1,08-02 01:30:00,2008-08-02,1,48,97,53,1,48,0
31435,Gilbert,2014,1,04-26 19:00:00,2014-04-26,19,66,21,2,6,66,6
12251,Cincinnati,2011,1,01-15 01:00:00,2011-01-15,1,27,97,56,6,27,72
8804,Alma,2011,1,11-19 06:05:00,2011-11-19,6,27,89,53,6,27,29
31522,High Point,2009,1,04-27 23:00:00,2009-04-27,23,63,83,0,6,63,16
57054,Sublette,2010,1,08-07 03:00:00,2010-08-07,3,46,89,16,6,46,10
22215,Hannacroix,2011,1,02-20 20:10:00,2011-02-20,20,18,91,63,6,18,76
56292,Baltimore,2008,1,08-03 22:06:00,2008-08-03,22,68,72,18,6,68,6
23890,Bethel,2013,1,02-06 18:00:00,2013-02-06,18,14,96,15,1,14,14
5111,Rochester,2012,1,10-03 19:45:00,2012-10-03,19,63,95,58,1,63,78
51672,Watauga,2013,1,08-01 02:00:00,2013-08-01,2,81,77,21,6,84,29
